TuningDataset,Fold,Partition,Phenotype,Pearson_Coefficient,alpha,L1_ratio
Pantano,Fold5,Shuffled,NAS,0.06136197720495794,0.1,1.0
Pantano,Fold5,Shuffled,Combined,0.03086714477607501,0.1,1.0
Pantano,Fold6,Train,Fibrosis,0.8929599949184629,0.1,1.0
Pantano,Fold6,Train,NAS,0.9744002643672189,0.1,1.0
Pantano,Fold6,Train,Combined,0.9336801296428416,0.1,1.0
Pantano,Fold6,Validation,Fibrosis,0.836069400937514,0.1,1.0
Pantano,Fold6,Validation,NAS,0.5576120139507303,0.1,1.0
Pantano,Fold6,Validation,Combined,0.6968407074441223,0.1,1.0
Pantano,Fold6,Govaere,Fibrosis,0.5952914216084313,0.1,1.0
Pantano,Fold6,Govaere,NAS,0.5633314770206045,0.1,1.0
Pantano,Fold6,Govaere,Combined,0.579311449314518,0.1,1.0
Pantano,Fold6,Hoang,Fibrosis,0.47436201472499995,0.1,1.0
Pantano,Fold6,Hoang,NAS,0.521590782593697,0.1,1.0
Pantano,Fold6,Hoang,Combined,0.4979763986593486,0.1,1.0
Pantano,Fold6,Shuffled,Fibrosis,-0.057034245339259645,0.1,1.0
Pantano,Fold6,Shuffled,NAS,-0.10726143379729194,0.1,1.0
Pantano,Fold6,Shuffled,Combined,-0.08214783956827579,0.1,1.0
Pantano,Fold7,Train,Fibrosis,0.9007370957109745,0.1,1.0
Pantano,Fold7,Train,NAS,0.9691328356325122,0.1,1.0
Pantano,Fold7,Train,Combined,0.9349349656717434,0.1,1.0
Pantano,Fold7,Validation,Fibrosis,0.37182051623806234,0.1,1.0
Pantano,Fold7,Validation,NAS,0.46722095194907115,0.1,1.0
Pantano,Fold7,Validation,Combined,0.4195207340935668,0.1,1.0
Pantano,Fold7,Govaere,Fibrosis,0.6040047223176385,0.1,1.0
Pantano,Fold7,Govaere,NAS,0.6688455613763798,0.1,1.0
Pantano,Fold7,Govaere,Combined,0.6364251418470084,0.1,1.0
Pantano,Fold7,Hoang,Fibrosis,0.5040564944877663,0.1,1.0
Pantano,Fold7,Hoang,NAS,0.6775358543889592,0.1,1.0
Pantano,Fold7,Hoang,Combined,0.590796174438363,0.1,1.0
Pantano,Fold7,Shuffled,Fibrosis,0.14301876556050852,0.1,1.0
Pantano,Fold7,Shuffled,NAS,-0.047568985004361776,0.1,1.0
Pantano,Fold7,Shuffled,Combined,0.04772489027807339,0.1,1.0
Pantano,Fold8,Train,Fibrosis,0.9004922209057183,0.1,1.0
Pantano,Fold8,Train,NAS,0.9689502149637211,0.1,1.0
Pantano,Fold8,Train,Combined,0.9347212179347191,0.1,1.0
Pantano,Fold8,Validation,Fibrosis,0.8738812094218741,0.1,1.0
Pantano,Fold8,Validation,NAS,0.8518460238420207,0.1,1.0
Pantano,Fold8,Validation,Combined,0.8628636166319474,0.1,1.0
Pantano,Fold8,Govaere,Fibrosis,0.6475796788531059,0.1,1.0
Pantano,Fold8,Govaere,NAS,0.6470212476935538,0.1,1.0
Pantano,Fold8,Govaere,Combined,0.6473004632733301,0.1,1.0
Pantano,Fold8,Hoang,Fibrosis,0.5497482364879405,0.1,1.0
Pantano,Fold8,Hoang,NAS,0.7028576957230853,0.1,1.0
Pantano,Fold8,Hoang,Combined,0.6263029661055131,0.1,1.0
Pantano,Fold8,Shuffled,Fibrosis,-0.03874886540274672,0.1,1.0
Pantano,Fold8,Shuffled,NAS,-0.07780566993558549,0.1,1.0
Pantano,Fold8,Shuffled,Combined,-0.058277267669166105,0.1,1.0
Pantano,Fold9,Train,Fibrosis,0.9078538898657523,0.1,1.0
Pantano,Fold9,Train,NAS,0.9710325848232297,0.1,1.0
Pantano,Fold9,Train,Combined,0.939443237344491,0.1,1.0
Pantano,Fold9,Validation,Fibrosis,0.5904381957525339,0.1,1.0
Pantano,Fold9,Validation,NAS,0.6286406126544479,0.1,1.0
Pantano,Fold9,Validation,Combined,0.609539404203491,0.1,1.0
Pantano,Fold9,Govaere,Fibrosis,0.5727762385610704,0.1,1.0
Pantano,Fold9,Govaere,NAS,0.6206615720338141,0.1,1.0
Pantano,Fold9,Govaere,Combined,0.5967189052974422,0.1,1.0
Pantano,Fold9,Hoang,Fibrosis,0.4161294342677742,0.1,1.0
Pantano,Fold9,Hoang,NAS,0.6576615836395795,0.1,1.0
Pantano,Fold9,Hoang,Combined,0.5368955089536769,0.1,1.0
Pantano,Fold9,Shuffled,Fibrosis,-0.021264657325811613,0.1,1.0
Pantano,Fold9,Shuffled,NAS,0.007314252692107462,0.1,1.0
Pantano,Fold9,Shuffled,Combined,-0.0069752023168520826,0.1,1.0
Pantano,Fold10,Train,Fibrosis,0.9031160166489572,0.1,1.0
Pantano,Fold10,Train,NAS,0.9669865098391158,0.1,1.0
Pantano,Fold10,Train,Combined,0.9350512632440363,0.1,1.0
Pantano,Fold10,Validation,Fibrosis,0.6437258649427411,0.1,1.0
Pantano,Fold10,Validation,NAS,0.7847436148365289,0.1,1.0
Pantano,Fold10,Validation,Combined,0.7142347398896349,0.1,1.0
Pantano,Fold10,Govaere,Fibrosis,0.6233519553654637,0.1,1.0
Pantano,Fold10,Govaere,NAS,0.6288427955260513,0.1,1.0
Pantano,Fold10,Govaere,Combined,0.6260973754457576,0.1,1.0
Pantano,Fold10,Hoang,Fibrosis,0.5495562484427621,0.1,1.0
Pantano,Fold10,Hoang,NAS,0.7214933417324944,0.1,1.0
Pantano,Fold10,Hoang,Combined,0.6355247950876283,0.1,1.0
Pantano,Fold10,Shuffled,Fibrosis,0.029343088673761147,0.1,1.0
Pantano,Fold10,Shuffled,NAS,-0.07831173136615899,0.1,1.0
Pantano,Fold10,Shuffled,Combined,-0.02448432134619888,0.1,1.0
